"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
Metropolitan Statistical Area
GeoFips,GeoName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11100,"Amarillo, TX (Metropolitan Statistical Area)",-8.9,1.9,1.5,0.7,1.1,1.5,2.1,2.2,1.5,3.1,2.4,1.6,2.1,1.6,1.6,0.2,0.6,-0.1,0.4,-0.7,-0.6,1.1,1.4,1.9,1.9,2.9,1.1,1.0,0.7,1.4,1.1,0.5,0.9,1.2,1.0,1.2,0.9,0.8,0.8,1.2,1.3,1.4,0.8,0.5,0.9,0.4,0.6,0.6,0.1,0.3,0.7,0.3,0.3,0.7
11180,"Ames, IA (Metropolitan Statistical Area)",2.9,1.3,1.7,1.2,1.0,0.0,1.2,1.1,1.4,0.1,0.9,0.5,-0.8,0.9,-0.1,0.4,-0.2,-0.9,0.6,-0.2,0.8,0.3,0.6,0.7,-0.1,0.7,0.9,1.1,0.3,1.3,0.8,0.1,1.4,0.3,0.8,0.2,1.7,1.7,1.1,1.2,0.3,1.4,0.7,1.8,1.7,0.9,0.3,0.4,-0.5,0.6,0.6,0.9,-1.3,0.3
11260,"Anchorage, AK (Metropolitan Statistical Area)",3.5,5.7,6.4,3.1,3.6,8.6,6.2,1.9,2.3,0.5,-0.6,3.1,8.5,9.4,6.3,4.7,2.3,-1.8,-0.6,0.1,1.4,3.6,4.7,2.1,1.2,0.6,0.2,1.3,2.1,1.4,1.1,1.7,2.0,1.5,2.2,1.6,2.2,0.4,1.5,2.4,2.4,1.3,1.1,1.4,0.3,0.2,0.7,-0.2,-0.7,-0.3,0.1,0.4,0.1,0.2
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4.8,0.9,2.2,2.2,3.9,-2.1,1.2,1.4,0.9,1.2,0.6,-0.7,-0.8,0.0,0.2,0.7,1.3,1.4,1.3,2.2,1.7,1.1,1.1,0.4,0.7,1.4,1.7,1.7,1.4,1.8,1.9,1.3,1.2,1.0,1.0,0.8,0.5,0.4,-1.1,0.6,0.8,1.3,0.9,1.2,1.3,1.0,1.1,0.9,0.4,-0.5,-0.3,-1.8,0.4,-0.3
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",0.2,0.5,0.2,1.1,0.8,1.0,5.4,0.0,3.3,0.2,2.8,0.7,1.1,-0.7,0.4,-2.5,-0.8,0.3,-0.7,-0.7,-0.2,-0.8,0.5,0.4,-0.1,0.5,-0.1,0.5,-0.1,-1.9,-3.3,0.2,0.3,1.0,0.7,0.9,0.8,0.7,0.9,0.9,0.1,-0.3,-0.2,-0.4,-0.2,-0.1,-0.2,0.0,-0.1,0.0,-0.4,-0.5,0.1,0.6
11540,"Appleton, WI (Metropolitan Statistical Area)",2.7,0.7,0.6,-0.2,1.1,2.0,-0.8,1.3,0.8,0.8,2.0,0.5,0.5,0.4,0.7,0.8,1.1,1.2,1.7,1.1,1.2,1.0,1.4,1.5,1.9,1.5,1.6,1.3,1.4,1.4,1.6,1.5,1.5,1.2,1.1,1.1,1.2,0.9,0.9,1.0,0.6,0.9,0.7,0.8,0.9,0.8,0.6,0.9,0.7,0.6,0.6,0.2,0.4,0.6
11700,"Asheville, NC (Metropolitan Statistical Area)",0.5,2.0,0.9,1.6,1.4,1.5,0.8,1.4,1.8,1.5,1.4,0.8,1.1,0.3,1.3,1.0,0.8,0.4,0.8,0.9,1.3,1.8,1.9,2.2,2.0,2.0,1.8,1.8,1.7,1.5,1.5,1.2,1.3,1.4,1.4,1.5,2.1,1.8,1.4,1.1,0.8,0.7,0.7,1.2,1.0,1.2,1.4,1.1,1.0,0.8,0.8,0.8,0.7,0.8
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2.2,2.7,3.9,4.5,2.0,0.5,-1.9,1.1,1.1,0.6,4.7,2.4,1.1,1.8,1.8,1.5,0.9,2.0,2.0,2.5,2.3,1.8,1.8,2.1,2.8,1.9,2.1,2.1,1.3,1.9,2.0,1.3,1.1,1.8,2.4,0.5,2.3,2.0,1.7,1.1,0.7,0.5,0.9,0.9,0.4,2.2,1.4,1.8,1.2,1.1,0.6,1.2,0.9,0.8
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1.7,3.3,3.3,3.5,2.6,0.9,1.2,1.9,1.9,2.7,2.5,2.2,2.1,2.6,3.1,3.7,3.5,3.5,2.9,2.3,2.3,2.9,3.0,3.3,3.6,3.4,3.3,3.3,3.4,3.4,3.3,2.5,2.0,1.9,1.9,2.4,3.4,2.7,2.0,1.4,1.2,1.2,1.5,1.2,1.5,1.7,1.8,1.5,1.3,1.3,1.1,0.7,1.3,1.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",0.7,2.2,2.9,1.2,1.0,0.2,0.0,-0.2,1.0,1.0,0.8,0.7,0.3,1.3,1.8,1.6,1.6,1.5,2.3,1.9,1.7,1.5,1.2,1.2,1.0,1.1,1.2,1.1,1.3,1.0,1.3,0.8,1.4,1.6,1.7,1.0,0.5,0.2,0.3,0.4,0.3,0.4,0.4,0.3,-0.2,-0.5,-0.7,-0.2,-0.1,0.3,0.0,0.3,0.2,-0.1
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",9.7,1.0,0.4,3.9,6.6,0.8,0.9,2.7,3.1,2.6,0.8,1.5,1.6,0.2,1.5,1.1,2.0,-0.1,2.3,1.5,2.2,2.0,2.3,3.0,1.9,3.5,2.8,4.3,3.2,2.7,2.2,1.2,1.3,1.4,1.8,3.2,2.5,2.1,2.0,3.0,1.7,2.9,3.6,2.7,2.3,2.1,1.9,1.9,1.9,0.9,1.6,1.6,1.7,1.4
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",0.2,0.1,-0.6,1.2,2.5,2.4,2.9,1.6,2.6,2.4,1.9,0.8,1.2,1.2,1.7,2.2,2.1,0.4,0.6,1.0,2.3,3.0,3.2,0.5,1.4,1.2,0.3,1.1,0.9,0.9,0.8,0.7,0.8,0.6,1.3,0.9,1.4,1.3,1.3,1.0,1.5,0.7,0.9,0.6,0.5,1.1,0.9,0.8,0.7,0.8,0.7,0.7,1.3,0.9
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",5.0,4.3,6.9,5.7,2.7,2.3,4.1,2.8,1.2,6.1,3.2,2.8,4.5,5.5,5.9,7.2,4.6,1.8,1.2,1.8,2.4,3.4,3.7,4.0,4.1,4.3,4.0,3.6,4.0,4.4,4.9,4.5,2.0,2.1,2.5,3.1,4.3,4.1,3.6,3.0,2.7,3.1,3.1,2.7,3.2,3.1,3.0,2.6,2.4,2.8,3.1,2.5,2.7,2.1
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1.6,1.6,0.2,1.8,0.5,3.5,2.8,1.4,1.6,4.0,3.4,3.1,3.5,3.1,2.8,3.2,2.5,2.4,2.6,3.3,4.1,3.6,3.6,1.7,2.5,0.9,1.1,1.3,1.3,1.9,1.3,1.9,2.6,2.9,3.1,3.3,3.1,2.4,1.9,1.4,1.4,1.0,0.8,1.1,0.9,0.9,0.6,0.8,0.8,0.7,-0.1,0.8,0.4,-0.3
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1.1,1.8,0.9,0.7,0.5,0.2,0.2,0.6,0.1,0.2,-0.3,0.5,0.3,0.3,0.7,0.5,1.3,1.1,1.3,0.8,1.3,1.2,0.9,0.7,0.7,0.6,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.7,0.6,0.5,0.5,0.4,0.5,0.6,0.8,0.8,0.9,0.7,0.6,0.5,0.3,0.3,0.3,0.2,0.0,0.0,-0.3,0.0
12620,"Bangor, ME (Metropolitan Statistical Area)",0.1,1.7,0.9,1.4,0.9,1.1,1.6,0.4,0.6,0.2,0.1,0.5,0.0,0.1,0.3,0.1,0.4,0.7,1.7,1.9,1.1,0.2,-0.6,0.2,0.2,-0.9,-0.3,-0.3,-0.2,0.2,0.0,0.8,0.8,1.0,0.0,0.6,1.1,0.5,0.7,0.3,0.1,0.0,-0.2,0.0,0.0,-0.8,-0.4,0.3,0.0,0.0,0.0,0.8,0.9,0.4
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3.0,1.7,0.0,11.9,11.5,4.5,2.9,3.7,2.1,3.8,1.8,2.2,1.5,1.9,3.1,2.7,3.0,2.7,2.8,1.9,1.5,1.0,1.3,1.7,1.9,2.2,2.0,1.7,2.0,2.1,1.9,0.5,0.6,0.3,-0.8,-1.0,-0.9,-0.8,-0.6,-0.5,0.1,0.5,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.3,0.3,1.9,-0.1,-0.1
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1.0,1.9,2.6,1.7,2.0,2.0,2.8,3.0,2.2,2.9,2.9,2.0,2.0,1.6,0.7,0.6,0.0,-1.2,-0.6,-0.3,0.3,1.5,1.8,1.5,1.1,1.0,1.0,1.1,1.0,1.1,0.9,0.4,0.6,0.9,1.0,0.7,4.8,1.0,1.0,1.0,1.0,0.6,0.7,0.8,0.7,0.7,0.8,-0.2,0.2,0.3,0.3,0.3,0.0,0.2
12980,"Battle Creek, MI (Metropolitan Statistical Area)",-0.3,-0.6,0.9,0.3,0.5,-0.3,-0.2,0.3,0.5,-0.8,-0.4,0.1,-1.4,-1.6,-1.4,-0.9,-0.2,0.4,-0.3,0.7,0.6,0.4,0.4,0.3,0.1,-0.4,-0.6,0.1,0.7,0.2,0.0,0.1,0.3,0.3,0.3,-0.4,-0.5,-0.5,-0.2,-0.7,-0.2,-0.6,-0.2,0.1,0.1,-0.3,0.0,-0.1,-0.2,0.0,-0.1,-0.2,-0.3,0.0
13020,"Bay City, MI (Metropolitan Statistical Area)",1.0,0.9,0.5,0.6,0.6,-0.1,0.1,0.8,0.5,-0.8,-0.9,0.3,-1.3,-1.2,-0.6,-1.4,-0.7,-0.3,-0.9,-0.7,-0.2,0.0,0.3,0.2,-0.3,-0.3,-0.4,-0.2,-0.3,-0.4,-0.1,-0.3,0.0,-0.3,-0.1,-0.3,-0.4,-0.5,0.2,-0.4,-0.2,-0.1,-0.3,0.0,-0.6,-0.6,-0.7,-0.2,-0.3,-0.6,-0.3,-0.6,-0.5,-0.1
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",0.4,0.6,0.4,-1.5,0.2,1.5,1.6,1.6,0.4,1.7,1.0,1.4,1.5,0.3,-0.6,-1.2,-3.3,-0.6,-1.1,-0.4,0.3,1.4,1.3,1.3,0.4,0.9,-0.1,0.3,0.3,0.6,-0.1,-0.5,0.1,0.1,0.3,0.3,-1.7,0.8,0.8,0.5,0.6,0.6,-0.2,0.6,0.3,1.0,0.6,0.5,-1.1,-0.1,0.0,-0.4,-0.3,0.3
13220,"Beckley, WV (Metropolitan Statistical Area)",0.2,2.2,3.4,1.7,0.5,2.5,4.4,2.8,1.3,0.6,-0.3,-0.2,0.0,-0.2,-1.3,-1.4,-1.7,-3.0,-3.0,-3.0,-0.9,0.2,0.2,0.9,0.2,0.8,0.7,-0.1,-0.3,-0.4,-0.7,-1.0,0.3,-0.1,-0.3,-0.5,-0.2,0.2,0.0,0.2,0.1,0.2,-0.1,-0.6,-0.8,-1.0,-1.4,-1.5,-1.2,-1.0,-1.0,-0.9,-1.4,-0.7
13380,"Bellingham, WA (Metropolitan Statistical Area)",2.4,3.7,4.4,0.3,1.5,2.5,2.9,2.5,3.1,2.9,2.7,1.7,0.7,0.7,0.6,1.0,0.7,1.9,3.2,3.6,4.7,3.6,3.8,3.4,2.7,2.6,2.5,1.9,1.8,2.2,1.9,2.1,2.2,1.7,2.2,2.0,1.9,2.1,2.0,1.6,0.8,0.8,0.5,0.4,0.9,1.6,2.0,2.1,1.5,1.4,0.9,-0.3,1.7,0.6
13460,"Bend, OR (Metropolitan Statistical Area)",3.9,6.3,6.0,8.3,6.6,5.6,5.3,7.3,11.2,9.6,6.7,1.2,-0.2,-0.8,2.1,1.8,1.8,1.1,3.0,3.7,6.5,5.8,4.7,4.6,3.8,4.5,4.1,3.2,4.1,4.8,4.1,3.4,3.9,3.1,3.6,5.1,5.4,3.0,2.7,0.3,0.2,1.1,1.0,2.3,2.4,2.7,3.6,3.3,2.4,2.8,2.1,2.9,0.6,1.0
13740,"Billings, MT (Metropolitan Statistical Area)",0.9,2.7,2.0,1.5,3.2,2.4,2.5,2.1,3.2,1.1,0.1,1.6,2.4,2.5,2.1,0.5,-0.6,-1.6,-1.5,-0.5,0.0,1.5,2.5,2.5,2.0,1.6,1.1,0.7,0.4,1.0,0.7,1.0,1.0,1.1,1.2,1.5,1.4,1.4,1.8,1.5,1.2,0.9,1.2,1.5,1.0,0.9,0.9,1.0,0.5,0.9,1.2,1.4,1.6,0.6
13780,"Binghamton, NY (Metropolitan Statistical Area)",0.3,0.7,-1.2,0.0,-0.7,1.1,0.2,-0.1,-0.4,-0.3,-1.3,0.1,0.1,-0.2,-0.1,0.6,-0.4,-0.5,0.6,0.2,0.1,0.3,0.4,-0.2,-0.7,-1.5,-1.3,-1.0,-0.4,-0.2,-0.2,0.2,0.3,-0.2,-0.1,-0.2,0.1,0.0,0.0,-0.1,-0.2,-0.1,-0.1,0.0,0.0,-0.3,-0.4,-0.2,-0.1,-0.4,-0.4,0.1,-0.7,-0.5
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2.3,1.2,0.5,1.3,0.6,1.4,1.4,1.4,1.2,1.0,0.4,0.0,-0.4,0.1,0.5,0.6,0.5,0.8,0.4,0.4,0.5,1.2,1.1,1.3,1.2,1.1,0.9,0.8,0.9,0.8,0.6,0.6,0.5,0.9,0.8,0.8,1.3,0.9,0.9,0.8,0.4,0.4,0.6,0.7,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.0,-0.1,0.3
13900,"Bismarck, ND (Metropolitan Statistical Area)",0.5,1.4,1.6,3.1,2.6,3.6,3.6,2.8,2.1,3.5,2.7,0.8,1.5,2.1,1.6,0.2,-0.2,-1.2,-0.5,0.0,0.1,0.9,1.7,1.7,1.1,1.4,1.4,1.0,1.1,0.6,0.6,0.3,1.0,0.9,1.0,1.7,1.8,1.9,1.5,1.7,2.0,1.9,2.8,3.4,2.8,2.9,1.8,1.0,0.5,0.7,0.8,0.5,0.4,0.6
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",1.0,2.6,2.5,3.3,3.9,2.5,1.4,1.9,2.0,1.1,0.3,1.2,0.3,0.1,0.9,0.6,0.8,0.7,1.5,0.8,1.2,0.4,0.7,0.6,0.9,0.4,0.4,0.6,1.4,1.1,0.5,1.2,0.0,0.4,0.4,1.1,1.2,1.1,0.7,0.7,0.4,0.1,0.4,0.6,0.2,0.0,0.5,-0.1,0.5,0.0,-0.3,-0.4,0.0,0.1
14010,"Bloomington, IL (Metropolitan Statistical Area)",2.4,2.7,4.7,1.1,0.6,-0.8,1.2,1.2,0.6,0.5,1.0,0.5,0.3,1.0,0.6,0.5,-0.2,1.4,1.4,1.3,1.6,1.9,1.5,2.0,1.3,1.7,1.0,1.4,1.5,1.8,1.1,1.2,2.1,1.2,0.8,0.8,1.6,1.4,1.0,1.1,0.6,0.6,1.0,1.3,-0.5,-0.6,-0.1,-0.2,-0.3,-0.7,0.0,0.1,-0.1,-0.3
14020,"Bloomington, IN (Metropolitan Statistical Area)",3.8,2.1,3.9,0.7,1.8,-2.1,1.9,3.7,2.2,0.7,1.8,1.3,0.8,0.4,-0.1,0.2,0.8,1.2,1.3,2.2,1.5,1.0,1.7,1.7,1.7,1.2,1.1,1.1,0.9,0.9,0.7,0.7,0.7,1.5,1.2,1.0,1.6,1.2,1.2,1.1,1.3,0.5,0.2,-0.2,0.3,-0.1,0.5,0.0,-0.1,0.0,-0.5,0.5,-0.4,-0.1
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",0.6,1.9,1.7,0.9,1.3,1.0,0.2,0.5,0.4,0.8,0.5,0.5,0.0,0.6,-0.7,-0.6,0.1,0.0,0.9,1.0,1.1,0.7,0.9,0.5,0.0,0.3,0.0,-0.1,-0.4,-0.2,-0.3,0.5,0.3,0.5,0.3,0.2,0.3,0.4,0.5,0.8,0.3,-0.2,0.0,0.1,-0.1,-0.7,-0.7,-0.6,-0.5,-0.3,-0.4,0.3,0.3,-0.1
14260,"Boise City, ID (Metropolitan Statistical Area)",2.2,5.0,4.5,3.9,4.6,2.9,4.0,3.9,4.4,3.3,2.0,1.6,1.2,1.0,1.6,1.4,0.5,0.3,0.9,2.1,3.0,4.1,3.7,4.7,4.4,4.0,3.6,3.3,3.7,3.3,3.6,3.6,2.9,2.5,2.6,4.0,4.3,3.5,2.2,1.3,1.1,1.6,1.6,1.9,2.1,1.8,2.5,2.7,2.7,2.8,2.8,3.5,1.8,1.6
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1.1,0.6,0.7,0.1,-0.3,-0.4,-0.2,0.0,-0.1,0.0,0.1,0.5,0.3,0.7,0.8,0.8,0.4,0.4,0.5,0.3,-0.1,-0.2,0.2,0.6,0.6,1.0,0.8,0.9,0.8,0.7,0.7,0.7,0.2,-0.1,-0.2,-0.2,0.2,0.5,0.8,1.0,0.9,1.1,1.2,1.1,1.1,0.8,0.8,0.8,0.5,0.4,0.0,-0.6,-0.1,0.3
14500,"Boulder, CO (Metropolitan Statistical Area) *",2.9,5.6,7.5,5.4,4.4,0.1,1.5,5.3,3.0,2.0,2.0,2.5,2.6,2.8,2.3,1.3,0.9,1.0,0.9,1.6,1.3,2.9,3.3,2.9,2.8,2.0,2.0,2.3,2.5,3.0,2.6,2.3,-6.9,-0.3,0.3,0.2,1.4,1.1,1.2,0.8,0.7,1.8,1.7,1.7,1.1,2.0,1.2,0.5,0.9,0.3,0.5,-1.2,0.1,-0.2
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2.9,4.3,1.9,0.2,1.5,1.5,2.2,1.8,1.8,1.4,1.8,1.9,4.8,1.7,-2.6,-0.6,-0.6,-0.3,0.1,0.3,1.4,1.1,1.7,2.4,2.0,2.2,1.9,1.8,1.7,1.1,1.2,1.1,1.2,1.7,1.5,2.0,2.3,1.6,1.8,1.6,1.5,1.0,0.9,1.3,1.2,1.7,1.5,1.7,1.0,1.1,0.9,1.4,1.9,1.5
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",0.3,0.0,0.6,9.8,-0.3,6.4,1.6,4.1,5.4,6.1,5.7,4.1,0.1,3.5,0.8,1.1,0.5,3.3,5.4,2.0,5.2,4.0,5.0,0.8,1.5,4.2,1.4,1.2,-0.2,0.2,1.5,0.8,1.5,0.7,0.9,-0.9,2.2,-0.4,1.1,0.8,1.2,1.2,0.1,-0.6,0.5,2.4,1.6,1.3,1.2,1.1,0.3,0.3,0.4,-0.1
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1.5,0.0,-0.6,-0.2,0.2,0.8,0.4,1.6,-1.0,0.0,0.8,0.6,0.6,0.5,0.4,0.6,0.2,-0.4,-0.2,0.1,0.2,0.5,0.2,0.5,0.4,0.7,0.8,0.8,0.9,1.0,0.8,0.5,0.4,0.4,0.1,0.0,-0.2,0.1,0.7,0.7,1.0,1.1,0.9,0.7,0.6,0.2,0.1,0.0,0.3,0.0,-0.3,0.8,0.0,0.2
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1.6,4.6,6.6,6.0,3.2,6.2,3.6,2.8,2.2,3.3,3.1,3.9,4.8,3.5,1.5,1.5,2.1,1.1,0.3,0.8,2.0,2.9,3.0,4.0,3.1,2.6,2.3,2.0,2.0,1.8,1.8,1.9,2.3,2.4,2.2,1.9,1.8,1.6,1.7,1.9,1.8,1.3,0.6,0.3,0.3,0.0,0.4,0.1,-0.1,0.2,0.4,0.3,0.5,0.4
15260,"Brunswick, GA (Metropolitan Statistical Area)",1.1,2.7,2.6,1.3,-1.0,-2.2,0.8,2.1,0.3,2.7,2.4,1.1,1.3,1.1,1.5,1.3,1.8,1.5,1.5,1.4,1.3,1.1,1.1,1.6,1.0,1.2,1.2,1.7,1.3,1.4,1.0,1.8,1.6,1.6,1.7,1.7,3.1,2.5,2.1,1.6,0.9,-0.2,-0.1,0.0,0.2,0.6,0.3,0.5,0.0,-0.1,-0.1,0.4,0.5,1.3
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",0.6,0.2,-0.5,-1.0,-1.1,-0.4,-0.8,-1.0,-1.1,-1.0,-1.8,-0.7,-0.7,-1.1,-1.1,-0.5,-0.6,-0.4,0.1,0.4,0.4,0.3,0.3,0.2,0.0,-0.2,-0.3,-0.7,-0.7,-0.5,-0.3,-0.3,-0.3,-0.2,-0.3,-0.6,-0.6,-0.4,-0.1,-0.1,0.1,0.4,0.3,0.4,0.4,0.2,0.1,0.3,0.3,0.2,-0.1,0.0,-0.5,-0.3
15500,"Burlington, NC (Metropolitan Statistical Area)",0.8,1.7,1.3,0.2,-0.7,-1.0,0.5,-0.2,0.0,0.5,0.5,0.6,0.9,0.6,0.1,0.8,1.0,1.5,1.2,1.0,1.2,1.9,1.9,1.6,1.8,1.7,2.1,2.2,1.9,2.0,2.1,1.5,1.4,0.6,1.2,1.2,1.5,2.3,2.1,1.5,1.0,0.9,0.4,0.6,0.8,1.1,2.1,1.9,2.0,1.6,1.4,1.2,1.5,1.4
